	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
413	procedures	2	0.00019770660340055358	1	0.000192789666473877
414	worth	3	0.0002965599051008304	1	0.000192789666473877
415	chance	3	0.0002965599051008304	1	0.000192789666473877
416	top	7	0.0006919731119019375	2	0.000385579332947754
417	lunges	2	0.00019770660340055358	1	0.000192789666473877
418	depressed	2	0.00019770660340055358	1	0.000192789666473877
419	indicate	2	0.00019770660340055358	1	0.000192789666473877
420	central	10	0.0009885330170027679	1	0.000192789666473877
421	beginning	6	0.0005931198102016608	1	0.000192789666473877
422	exchanged	1	9.885330170027679e-05	2	0.000385579332947754
423	many	8	0.0007908264136022143	4	0.000771158665895508
424	assures	2	0.00019770660340055358	1	0.000192789666473877
425	row	3	0.0002965599051008304	1	0.000192789666473877
426	range	2	0.00019770660340055358	2	0.000385579332947754
427	crazy	8	0.0007908264136022143	2	0.000385579332947754
428	just	37	0.0036575721629102413	21	0.004048582995951417
429	single	4	0.00039541320680110717	2	0.000385579332947754
430	pretensions	1	9.885330170027679e-05	2	0.000385579332947754
431	wished	2	0.00019770660340055358	1	0.000192789666473877
432	handler	2	0.00019770660340055358	1	0.000192789666473877
433	bot	2	0.00019770660340055358	1	0.000192789666473877
434	answering	2	0.00019770660340055358	1	0.000192789666473877
435	incidents	3	0.0002965599051008304	1	0.000192789666473877
436	vestibule	3	0.0002965599051008304	1	0.000192789666473877
437	improving	1	9.885330170027679e-05	2	0.000385579332947754
438	pop	1	9.885330170027679e-05	2	0.000385579332947754
439	su	2	0.00019770660340055358	1	0.000192789666473877
440	person	5	0.0004942665085013839	3	0.000578368999421631
441	concert	5	0.0004942665085013839	1	0.000192789666473877
442	buys	4	0.00039541320680110717	1	0.000192789666473877
443	stressing	2	0.00019770660340055358	1	0.000192789666473877
444	seinfeld	3	0.0002965599051008304	4	0.000771158665895508
445	directing	2	0.00019770660340055358	1	0.000192789666473877
446	rach	3	0.0002965599051008304	1	0.000192789666473877
447	greater	2	0.00019770660340055358	1	0.000192789666473877
448	nuance	1	9.885330170027679e-05	2	0.000385579332947754
449	cringiest	1	9.885330170027679e-05	2	0.000385579332947754
450	named	2	0.00019770660340055358	1	0.000192789666473877
451	janice	6	0.0005931198102016608	2	0.000385579332947754
452	become.	1	9.885330170027679e-05	2	0.000385579332947754
453	labor	3	0.0002965599051008304	1	0.000192789666473877
454	scared	2	0.00019770660340055358	1	0.000192789666473877
455	story	11	0.0010873863187030447	11	0.002120686331212647
456	cheapness	1	9.885330170027679e-05	2	0.000385579332947754
457	keeping	1	9.885330170027679e-05	2	0.000385579332947754
458	finding	3	0.0002965599051008304	2	0.000385579332947754
459	leia	2	0.00019770660340055358	1	0.000192789666473877
460	minute	5	0.0004942665085013839	1	0.000192789666473877
461	silly	2	0.00019770660340055358	3	0.000578368999421631
462	real-	1	9.885330170027679e-05	2	0.000385579332947754
463	clever	2	0.00019770660340055358	1	0.000192789666473877
464	permanent	1	9.885330170027679e-05	2	0.000385579332947754
465	saying	2	0.00019770660340055358	2	0.000385579332947754
