	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
185	ms	1.6	0.00013739330551118897	2.6	0.0003871121434101602
186	outdoes	2.6	0.00022326412145568208	1.6	0.00023822285748317554
187	undoubtedly	3.6	0.0003091349374001752	1.6	0.00023822285748317554
188	quote	2.6	0.00022326412145568208	1.6	0.00023822285748317554
189	her.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
190	bit	17.6	0.0015113263606230788	5.6	0.0008337800011911143
191	princess	2.6	0.00022326412145568208	1.6	0.00023822285748317554
192	humble	1.6	0.00013739330551118897	2.6	0.0003871121434101602
193	wish	1.6	0.00013739330551118897	2.6	0.0003871121434101602
194	end	18.6	0.0015971971765675718	1.6	0.00023822285748317554
195	missing	2.6	0.00022326412145568208	1.6	0.00023822285748317554
196	house	2.6	0.00022326412145568208	2.6	0.0003871121434101602
197	burke	2.6	0.00022326412145568208	1.6	0.00023822285748317554
198	playing	4.6	0.00039500575334466825	3.6	0.000536001429337145
199	precise	2.6	0.00022326412145568208	1.6	0.00023822285748317554
200	their	41.6	0.0035722259432909133	8.6	0.0012804478589720685
201	tight	2.6	0.00022326412145568208	1.6	0.00023822285748317554
202	pine	2.6	0.00022326412145568208	1.6	0.00023822285748317554
203	message	4.6	0.00039500575334466825	1.6	0.00023822285748317554
204	intentional	2.6	0.00022326412145568208	1.6	0.00023822285748317554
205	isn't.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
206	ham	3.6	0.0003091349374001752	1.6	0.00023822285748317554
207	cab	1.6	0.00013739330551118897	2.6	0.0003871121434101602
208	doctor	2.6	0.00022326412145568208	2.6	0.0003871121434101602
209	german	3.6	0.0003091349374001752	1.6	0.00023822285748317554
210	chandler.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
211	fleshed	2.6	0.00022326412145568208	1.6	0.00023822285748317554
212	exactly	4.6	0.00039500575334466825	2.6	0.0003871121434101602
213	accompanies	3.6	0.0003091349374001752	1.6	0.00023822285748317554
214	phd	2.6	0.00022326412145568208	1.6	0.00023822285748317554
215	stay	2.6	0.00022326412145568208	1.6	0.00023822285748317554
216	memorable	2.6	0.00022326412145568208	2.6	0.0003871121434101602
217	everyday	2.6	0.00022326412145568208	1.6	0.00023822285748317554
218	masse	1.6	0.00013739330551118897	2.6	0.0003871121434101602
219	face	3.6	0.0003091349374001752	1.6	0.00023822285748317554
220	usual.but	2.6	0.00022326412145568208	1.6	0.00023822285748317554
221	personalities	3.6	0.0003091349374001752	1.6	0.00023822285748317554
222	finest	3.6	0.0003091349374001752	1.6	0.00023822285748317554
223	particularly	2.6	0.00022326412145568208	1.6	0.00023822285748317554
224	allergic	2.6	0.00022326412145568208	1.6	0.00023822285748317554
225	days	4.6	0.00039500575334466825	1.6	0.00023822285748317554
226	works	3.6	0.0003091349374001752	1.6	0.00023822285748317554
227	planned.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
228	term	2.6	0.00022326412145568208	1.6	0.00023822285748317554
229	friendship	3.6	0.0003091349374001752	1.6	0.00023822285748317554
230	seem	2.6	0.00022326412145568208	2.6	0.0003871121434101602
231	well.	3.6	0.0003091349374001752	1.6	0.00023822285748317554
232	checked	1.6	0.00013739330551118897	2.6	0.0003871121434101602
233	spying	2.6	0.00022326412145568208	1.6	0.00023822285748317554
234	tricks	2.6	0.00022326412145568208	1.6	0.00023822285748317554
235	butts	1.6	0.00013739330551118897	2.6	0.0003871121434101602
236	intimacy	2.6	0.00022326412145568208	1.6	0.00023822285748317554
237	several	2.6	0.00022326412145568208	1.6	0.00023822285748317554
238	refuses	3.6	0.0003091349374001752	2.6	0.0003871121434101602
239	meaning	2.6	0.00022326412145568208	1.6	0.00023822285748317554
240	commercial	3.6	0.0003091349374001752	1.6	0.00023822285748317554
241	insulted	2.6	0.00022326412145568208	1.6	0.00023822285748317554
242	too.	2.6	0.00022326412145568208	2.6	0.0003871121434101602
243	pushing	2.6	0.00022326412145568208	2.6	0.0003871121434101602
244	spirit	2.6	0.00022326412145568208	2.6	0.0003871121434101602
245	iconic	2.6	0.00022326412145568208	1.6	0.00023822285748317554
246	potatoes	2.6	0.00022326412145568208	1.6	0.00023822285748317554
247	leblanc	4.6	0.00039500575334466825	1.6	0.00023822285748317554
248	telescope	2.6	0.00022326412145568208	1.6	0.00023822285748317554
249	dad.	1.6	0.00013739330551118897	2.6	0.0003871121434101602
250	countless	1.6	0.00013739330551118897	2.6	0.0003871121434101602
251	craziness	2.6	0.00022326412145568208	1.6	0.00023822285748317554
252	ways	2.6	0.00022326412145568208	1.6	0.00023822285748317554
253	co-starring	2.6	0.00022326412145568208	1.6	0.00023822285748317554
254	died	4.6	0.00039500575334466825	1.6	0.00023822285748317554
255	prestigious	2.6	0.00022326412145568208	1.6	0.00023822285748317554
256	christmas	1.6	0.00013739330551118897	2.6	0.0003871121434101602
257	laugh	16.6	0.0014254555446785856	1.6	0.00023822285748317554
258	police	2.6	0.00022326412145568208	1.6	0.00023822285748317554
259	public	2.6	0.00022326412145568208	2.6	0.0003871121434101602
260	talking	3.6	0.0003091349374001752	3.6	0.000536001429337145
261	due	3.6	0.0003091349374001752	1.6	0.00023822285748317554
262	watched	7.6	0.0006526182011781476	2.6	0.0003871121434101602
263	hurry	2.6	0.00022326412145568208	1.6	0.00023822285748317554
264	cast	9.6	0.0008243598330671338	1.6	0.00023822285748317554
265	inspires	2.6	0.00022326412145568208	1.6	0.00023822285748317554
266	etc	1.6	0.00013739330551118897	2.6	0.0003871121434101602
267	review	2.6	0.00022326412145568208	1.6	0.00023822285748317554
268	so	37.6	0.003228742679512941	12.6	0.0018760050026800073
269	smelly	4.6	0.00039500575334466825	1.6	0.00023822285748317554
270	opinion	2.6	0.00022326412145568208	1.6	0.00023822285748317554
271	market	2.6	0.00022326412145568208	1.6	0.00023822285748317554
272	improvement	2.6	0.00022326412145568208	1.6	0.00023822285748317554
273	unique	2.6	0.00022326412145568208	1.6	0.00023822285748317554
274	hence	1.6	0.00013739330551118897	2.6	0.0003871121434101602
275	canceled	2.6	0.00022326412145568208	1.6	0.00023822285748317554
276	curb	1.6	0.00013739330551118897	2.6	0.0003871121434101602
277	other.	1.6	0.00013739330551118897	2.6	0.0003871121434101602
278	this.	1.6	0.00013739330551118897	2.6	0.0003871121434101602
279	groin	2.6	0.00022326412145568208	1.6	0.00023822285748317554
280	actual	2.6	0.00022326412145568208	1.6	0.00023822285748317554
281	ross	122.6	0.010527762034794854	38.6	0.00574712643678161
282	mayor	2.6	0.00022326412145568208	1.6	0.00023822285748317554
283	adams	2.6	0.00022326412145568208	1.6	0.00023822285748317554
284	info	2.6	0.00022326412145568208	1.6	0.00023822285748317554
285	beautiful	5.6	0.00048087656928916137	1.6	0.00023822285748317554
286	golden	2.6	0.00022326412145568208	1.6	0.00023822285748317554
287	metaphorical	2.6	0.00022326412145568208	1.6	0.00023822285748317554
288	second	8.6	0.0007384890171226407	2.6	0.0003871121434101602
289	famous	2.6	0.00022326412145568208	1.6	0.00023822285748317554
290	decides	4.6	0.00039500575334466825	2.6	0.0003871121434101602
291	mine	1.6	0.00013739330551118897	2.6	0.0003871121434101602
292	clint	1.6	0.00013739330551118897	3.6	0.000536001429337145
293	compared	1.6	0.00013739330551118897	2.6	0.0003871121434101602
294	asks	3.6	0.0003091349374001752	1.6	0.00023822285748317554
295	put	3.6	0.0003091349374001752	1.6	0.00023822285748317554
296	concentrate	2.6	0.00022326412145568208	1.6	0.00023822285748317554
297	graduate	1.6	0.00013739330551118897	2.6	0.0003871121434101602
298	son	3.6	0.0003091349374001752	3.6	0.000536001429337145
299	perk	8.6	0.0007384890171226407	1.6	0.00023822285748317554
300	nothing	3.6	0.0003091349374001752	3.6	0.000536001429337145
301	stairs	3.6	0.0003091349374001752	1.6	0.00023822285748317554
302	urban	2.6	0.00022326412145568208	1.6	0.00023822285748317554
303	together	12.6	0.0010819722809006132	1.6	0.00023822285748317554
304	applied	2.6	0.00022326412145568208	1.6	0.00023822285748317554
305	appears	3.6	0.0003091349374001752	1.6	0.00023822285748317554
306	blister	2.6	0.00022326412145568208	1.6	0.00023822285748317554
307	porcelain	2.6	0.00022326412145568208	1.6	0.00023822285748317554
308	reacting	2.6	0.00022326412145568208	1.6	0.00023822285748317554
309	laughing	2.6	0.00022326412145568208	2.6	0.0003871121434101602
310	apart	2.6	0.00022326412145568208	1.6	0.00023822285748317554
311	wet	2.6	0.00022326412145568208	1.6	0.00023822285748317554
312	crazed	2.6	0.00022326412145568208	1.6	0.00023822285748317554
313	globe	2.6	0.00022326412145568208	1.6	0.00023822285748317554
314	plays	3.6	0.0003091349374001752	2.6	0.0003871121434101602
315	how	23.6	0.0020265512562900375	14.6	0.0021737835745339767
316	stain	2.6	0.00022326412145568208	1.6	0.00023822285748317554
317	proper	3.6	0.0003091349374001752	1.6	0.00023822285748317554
318	aurora	1.6	0.00013739330551118897	2.6	0.0003871121434101602
319	invited	3.6	0.0003091349374001752	1.6	0.00023822285748317554
320	realizing	2.6	0.00022326412145568208	1.6	0.00023822285748317554
321	head	2.6	0.00022326412145568208	1.6	0.00023822285748317554
322	ever	13.6	0.0011678430968451062	2.6	0.0003871121434101602
323	'	19.6	0.001683067992512065	4.6	0.0006848907152641296
324	go	15.6	0.0013395847287340924	6.6	0.000982669287118099
325	painted	1.6	0.00013739330551118897	2.6	0.0003871121434101602
326	introduceds	2.6	0.00022326412145568208	1.6	0.00023822285748317554
